year,coal_mt,oil_mt,gas_mt,cement_mt,flaring_mt,other_mt
1990,8659.8,9196.4,3790.2,492.5,256.8,336.4
1991,8574.1,9656.5,3851.5,504.7,272.2,346.6
1992,8361.2,9154.7,3901.4,525.9,239.8,337.5
1993,8470.0,9172.3,4007.8,549.6,232.4,317.7
1994,8513.7,9196.2,4040.2,586.7,312.9,324.8
1995,8758.4,9283.9,4196.8,620.2,324.4,332.9
1996,8977.0,9562.1,4381.6,633.6,348.5,330.7
1997,8927.3,9702.2,4395.1,658.8,350.8,346.1
1998,8689.0,9822.0,4443.5,656.6,335.0,349.7
1999,8809.1,10064.2,4586.2,688.0,328.4,361.9
2000,9156.6,10211.6,4727.8,718.2,345.6,351.7
2001,9208.4,10283.6,4771.7,750.7,334.1,344.5
2002,9630.2,10269.4,4913.7,779.0,323.1,350.0
2003,10466.6,10540.8,5096.2,857.4,343.4,348.2
2004,10813.4,10924.6,5257.7,895.9,341.5,377.0
2005,11498.5,11030.3,5376.3,966.8,346.6,380.5
2006,12136.2,11142.9,5531.0,1047.3,346.6,390.1
2007,12724.5,11184.3,5736.6,1126.2,342.3,385.4
2008,13149.7,11143.3,5905.5,1137.4,333.7,380.1
2009,13003.2,10899.6,5765.7,1170.6,328.6,345.3
2010,13918.2,11253.7,6205.8,1251.8,339.7,348.4
2011,14704.2,11310.1,6389.3,1344.7,356.3,375.3
2012,14867.8,11432.7,6523.1,1377.4,374.1,379.7
2013,14953.2,11516.6,6573.1,1441.3,382.0,409.6
2014,15014.9,11561.8,6605.0,1492.5,383.8,407.8
2015,14655.0,11770.0,6729.0,1440.7,381.2,427.6
2016,14323.0,11900.3,6914.9,1476.1,371.5,407.1
2017,14494.2,12085.3,7084.6,1499.9,384.2,426.4
2018,14762.7,12142.8,7419.4,1546.8,404.0,458.2
2019,14703.0,12325.9,7574.1,1615.7,432.4,435.5
2020,14267.0,10932.3,7520.8,1624.1,400.0,414.0
2021,14969.2,11513.2,7878.7,1666.9,402.2,436.6
2022,15449.2,11914.9,7758.7,1578.7,398.9,427.3
2023,15636.4,12278.2,7802.8,1540.3,411.3,425.0
2024,15805.3,12470.6,8009.8,1472.8,415.7,424.4
